[2024-06-01 01:41:28,002: INFO: 139843015: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-01 02:00:22,038: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-06-01 02:00:22,041: INFO: common: yaml file: C:\Users\Yash\ml_project2\Kidney_Disease_Classification\config\config.yaml loaded successfully]
[2024-06-01 02:00:22,041: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-01 02:00:22,043: INFO: common: created directory at: artifacts]
[2024-06-01 02:00:22,043: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-01 02:00:22,044: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-01 02:00:53,585: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-01 02:00:54,399: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x=======================x]
